seq,outcome,csvNo,modelName,storeName,currentStockType,orderStatus,stockId,flowCode,reason,recordedAt
1,SUCCESS,,KK988B-올큐,창아,,STOCK,2123,836995773598671216,,2026-04-28T16:02:23.155415600Z
2,SUCCESS,,KA0962R-L수리,제이제이,,FIX,2124,836995774018104625,,2026-04-28T16:02:23.162416900Z
3,SUCCESS,,KA0962R-S수리,제이제이,,FIX,2125,836995774047465097,,2026-04-28T16:02:23.168416200Z
4,SUCCESS,,JN1618R-L,제이제이,,STOCK,2126,836995774072630365,,2026-04-28T16:02:23.174417500Z
5,SUCCESS,,KM-J719B-L,창아,,STOCK,2127,836995774101991176,,2026-04-28T16:02:23.181416900Z
6,SUCCESS,,JN1497-4-1,위더스골드,,STOCK,2128,836995774127156234,,2026-04-28T16:02:23.187416800Z
7,SUCCESS,,KJ131-3R,대구멋쟁이,,STOCK,2129,836995774152321298,,2026-04-28T16:02:23.192888400Z
8,SUCCESS,,타사네임플렛목걸이수리,로즈비,,FIX,2130,836995774173293759,,2026-04-28T16:02:23.199416900Z
9,SUCCESS,,T7716E수리,로즈비,,FIX,2131,836995774202653556,,2026-04-28T16:02:23.205417Z
10,SUCCESS,,T7716N-L수리,로즈비,,FIX,2132,836995774227817857,,2026-04-28T16:02:23.210417400Z
11,SUCCESS,,T-5028E수리,로즈비,,FIX,2133,836995774248788206,,2026-04-28T16:02:23.217416800Z
12,SUCCESS,,T-5011B수리,로즈비,,FIX,2134,836995774278150714,,2026-04-28T16:02:23.222418200Z
13,SUCCESS,,KN4310B-L,울산신금당,,STOCK,2135,836995774299119852,,2026-04-28T16:02:23.227417Z
14,SUCCESS,,JN1600-2.0,위더스골드,,STOCK,2136,836995774324288911,,2026-04-28T16:02:23.233417300Z
15,SUCCESS,,KJ-세르R-S머꼬큐,칸,,NORMAL,2137,836995774349453962,,2026-04-28T16:02:23.240418300Z
16,SUCCESS,,KM182N-2롱,울산금보당,,STOCK,2138,836995774374617636,,2026-04-28T16:02:23.247416400Z
17,SUCCESS,,JN1497-4-4,칸,,NORMAL,2139,836995774403979133,,2026-04-28T16:02:23.253417100Z
18,SUCCESS,,JN1497-4-4,칸,,NORMAL,2140,836995774433341237,,2026-04-28T16:02:23.262417100Z
19,SUCCESS,,KM-J663B,칸,,NORMAL,2141,836995774466894746,,2026-04-28T16:02:23.269418Z
20,SUCCESS,,JNR1464-3.3,칸,,NORMAL,2142,836995774496252220,,2026-04-28T16:02:23.274416800Z
21,SUCCESS,,FS2120N,칸,,NORMAL,2143,836995774517226746,,2026-04-28T16:02:23.280416500Z
22,SUCCESS,,FS2120B,칸,,NORMAL,2144,836995774542392889,,2026-04-28T16:02:23.286213200Z
23,SUCCESS,,KF035N,칸,,NORMAL,2145,836995774567555597,,2026-04-28T16:02:23.291565Z
24,SUCCESS,,JN412-1,칸,,NORMAL,2146,836995774592722438,,2026-04-28T16:02:23.297772900Z
